ImageId,SnapshotId
ami-0429d66cfe6dfef17,snap-0d6dd5cf14d5e39f5
ami-04efbd79a25ed7e14,snap-05254127ce9f79fa5
ami-0425be2a4c37390be,snap-0c2590fdc31758a4d
ami-02a791e133297c990,snap-0c973b16ab325d851
ami-0750a26fd12ad82da,snap-033009c182d8a6a7f
ami-06cae61fdabbd2d5b,snap-07716837f99d10f6e
ami-0ce91895d7cb693fb,snap-08fd27ec4f1cec5fb
ami-0c0adb967edf497f6,snap-03950e08ff7853707
ami-0a718237f2050d3c2,snap-033ea2d05c0425779
ami-0f8d76344dfaf359f,snap-006d2ed9968e36598
ami-011a5e419f973417e,snap-02e068d2b14a289b0
ami-05189b3597aeb5b85,snap-004632731408f0c99
ami-0728a8a4ea270edbd,snap-0c838efd2b2522537
ami-06919743961eb1bc1,snap-0646ef9c0dc9b8b3e
ami-0a4286624eb7e4759,snap-0ab39f614380fabba
ami-0f7089a355aaaac54,snap-04f744bc2eb2d8db8
ami-0fadc79540b8f0b54,snap-02175118c3d389b16
ami-05e23a2bd4a9c791b,snap-07a4a00d2d537b4e5
ami-04b267306d6a77f7e,snap-0af2826d32fbf9a34
ami-03c8d3f63f5f50c00,snap-0d3ba2ab3ee288b56
ami-04cc5fc0ed245ab5c,snap-0410657a987bb2777
ami-05c0302bc81945844,snap-09091b78bfc1d4cc2
ami-0df0d382d2a8df58e,snap-0daa0b873aedd5afc
ami-0c4a08d112d991c76,snap-04704aa6011b57db1
ami-0aa7c23d16fbfd904,snap-046c33c8666d52519
ami-001435da3ee4252f1,snap-03d9187751f5463e8
ami-087ab2e678e4080ee,snap-0c4e01e9191b8b0d7
ami-0c3ff62d0ade4100d,snap-0cf7c47cd7811c195
ami-03586e9b7478b35d8,snap-0e801179d52584daa
ami-0de48fdd693d6b15d,snap-014fdb958b42117a0
ami-0978fbc00a10cb5a6,snap-033eb2549eea54830
ami-0c35353b31934f4b5,snap-0c5d9b20d91d968b4
ami-01d15c58b1290197d,snap-0ba92cac0b3f806dd
ami-0dc10127e37b985f3,snap-0ca5ea6b097721af5
ami-09da711520825a8f8,snap-01177109014efe03f
ami-0c2a29f5c56d76f55,snap-095601d667c54bed6
ami-0fac669ea0c72d0df,snap-0f9177d303cab7581
ami-0dcf8cab50aaf9426,snap-0ce9de8f4f7bc2cd8
ami-0e903ceeca2908019,snap-0685c5fb692cc0ada
ami-08e12d93250c39a02,snap-065a91a471e0c56f5
ami-0fa8f7f7b8ae61336,snap-0d9b6a3fe4365923b
ami-0ba8581b65f261c93,snap-05f998c54977eca11
ami-08bd8607ee3ced87b,snap-020991d8a9f8c8538
ami-0718fddd199276d0d,snap-071f188fff857cd8d
ami-067c0effc5f66fff9,snap-0062181afe07da749
ami-0fd7c2fb3bee4861d,snap-0e1a49181648c6069
ami-0bb9360cbfeb9651a,snap-0b67ac0e5fba071fa
ami-02cab659784bb09e3,snap-0dbc3871b5d8a688f
ami-01fa12d31f3860fd8,snap-04eb064528b35ec22
ami-0a2940fec5d27e0d5,snap-03c4adc19998d51a6
ami-0fdf20106d7b2eea9,snap-0f1a703ef537391c8
ami-045800be379d640d7,snap-01e7f43401a40cfd5
ami-0d2734c306f79b22f,snap-06d1d2f77b7be6e6f
ami-0dafa41e7cc0b15c3,snap-0704784456c19ef17
ami-0ebb7ae0bedb55ca5,snap-00e2e9cc7e741b1f1
ami-0f87c99f1bbe22e41,snap-0975a84e83a9d1cd5
ami-07ac387a5475691c3,snap-0695645cf544e9c1e
ami-04a1d632746c67f9b,snap-05a6f572bd349afbd
ami-0781d57d56e5cfbe2,snap-0ea92c0619619df3e
ami-063d5bae972670161,snap-0992ea470f3fd30f9
ami-0d59599d1242aa8fc,snap-0912547c31b205c14
ami-0768915d665f04ae9,snap-08a684b2119b06a41
ami-0b485febbcd99a475,snap-08872c7f629db25d2
ami-07adee901a4d66dd1,snap-00c8fe4e66f0166e6
ami-0a56471250bb83eb1,snap-0b76ad93a2c285a12
ami-0158e5ca337634e24,snap-0780bb47e0af40dc7
ami-0aac1018e3e862ee1,snap-07921e1375617131c
ami-00429789941298bc7,snap-083bb19356c0cc266
ami-0a98c942f8345dc93,snap-0cd84bca950792c18
ami-0b7c255024d246a38,snap-08abac54e2d1d7117
ami-0427fc8e33ca4f18f,snap-019e09506d25cfd1f
ami-01f01353a82af0f31,snap-0d756de915cc968eb
ami-0378c9b8b3dda9471,snap-0e25b6854345be802
ami-0d39347ffab0cbbbb,snap-04421dda5c0fc4dab
ami-0f0efc92c6eebeaea,snap-0f25b87d58d368daa
ami-011cf3bafc711148b,snap-01a59fe30bc2fec57
ami-06b5bbafe86fecf0f,snap-03f2a8a58ffda0ea9
ami-07df86c160b314153,snap-08a599605dff85b03
ami-036c094f42623a7d8,snap-08695264a21ca0a1a
ami-09cad5afe0df3b9e7,snap-02634d33057bdd5c3
ami-08d725dca860bcbba,snap-0ed1db04cce4751b3
ami-0eeacfcd8d1d3789a,snap-0db71d6b8af43938f
ami-075210405b4bd0e79,snap-06e127bf2a88b6458
ami-04825850b8aa6266a,snap-0d1e3d1b8962408fa
ami-0f24161a606e62d2f,snap-06586311a094a0c07
ami-0adc4a3b3d812fb75,snap-0ede9c08595f3e626
ami-0387d43f068c1b5b6,snap-063905bc30c8657e8
ami-0906ff804bccb34d1,snap-0696c6ca9b82e1e28
ami-0218575bf19f807bb,snap-0dfabb9604dabc62a
ami-037015ebfc6edfd53,snap-01f7413392163767b
ami-0fa11299dc8127adf,snap-0d41226be50a83644
ami-0e219d7a43d95385c,snap-0c73dc30b57142d1c
ami-0e4020c2288f65e23,snap-0d4fbea26c571dabc
